2018-07-18T20:48:58.337-0400 I NETWORK  [conn22] received client metadata from 127.0.0.1:49288 conn22: { driver: { name: "PyMongo", version: "3.7.0" }, os: { type: "Darwin", name: "Darwin", architecture: "x86_64", version: "10.13.5" }, platform: "CPython 3.6.5.final.0" }
2018-07-18T20:52:49.258-0400 I NETWORK  [conn22] end connection 127.0.0.1:49288 (0 connections now open)
2018-07-18T20:54:13.860-0400 I NETWORK  [listener] connection accepted from 127.0.0.1:49298 #23 (1 connection now open)
2018-07-18T20:54:13.863-0400 I NETWORK  [conn23] received client metadata from 127.0.0.1:49298 conn23: { driver: { name: "PyMongo", version: "3.7.0" }, os: { type: "Darwin", name: "Darwin", architecture: "x86_64", version: "10.13.5" }, platform: "CPython 3.6.5.final.0" }
2018-07-18T20:55:34.318-0400 I NETWORK  [conn23] end connection 127.0.0.1:49298 (0 connections now open)
2018-07-18T20:56:01.700-0400 I NETWORK  [listener] connection accepted from 127.0.0.1:49308 #24 (1 connection now open)
2018-07-18T20:56:01.701-0400 I NETWORK  [conn24] received client metadata from 127.0.0.1:49308 conn24: { driver: { name: "PyMongo", version: "3.7.0" }, os: { type: "Darwin", name: "Darwin", architecture: "x86_64", version: "10.13.5" }, platform: "CPython 3.6.5.final.0" }
2018-07-18T20:57:25.687-0400 I NETWORK  [conn24] end connection 127.0.0.1:49308 (0 connections now open)
2018-07-18T20:57:34.715-0400 I NETWORK  [listener] connection accepted from 127.0.0.1:49314 #25 (1 connection now open)
2018-07-18T20:57:34.716-0400 I NETWORK  [conn25] received client metadata from 127.0.0.1:49314 conn25: { driver: { name: "PyMongo", version: "3.7.0" }, os: { type: "Darwin", name: "Darwin", architecture: "x86_64", version: "10.13.5" }, platform: "CPython 3.6.5.final.0" }
2018-07-18T21:00:26.296-0400 I NETWORK  [conn25] end connection 127.0.0.1:49314 (0 connections now open)
2018-07-18T21:01:25.179-0400 I NETWORK  [listener] connection accepted from 127.0.0.1:49323 #26 (1 connection now open)
2018-07-18T21:01:25.180-0400 I NETWORK  [conn26] received client metadata from 127.0.0.1:49323 conn26: { driver: { name: "PyMongo", version: "3.7.0" }, os: { type: "Darwin", name: "Darwin", architecture: "x86_64", version: "10.13.5" }, platform: "CPython 3.6.5.final.0" }
